name,lat,lon
阿布辛贝神庙,22.337,31.626
安赫尔瀑布,5.967,-62.536
弯曲金字塔,29.790,31.215
哈利法塔,25.197,55.274
奇琴伊察,20.683,-88.567
救世基督像,-22.951,-43.211
左塞尔金字塔,29.871,31.216
埃菲尔铁塔,48.858,2.294
吉萨金字塔群,29.979,31.134
长城,40.358,116.024
哈特谢普苏特神庙,25.738,32.606
天坛,39.882,116.406
黄果树瀑布,25.993,105.666
雷峰塔,30.233,120.151
自由女神像,40.689,-74.045
马丘比丘,-13.163,-72.545
门农巨像,25.719,32.612
佩特拉,30.329,35.444
布达拉宫,29.658,91.117
珠穆朗玛峰,27.988,86.925
拉美西姆神庙,25.727,32.611
罗马斗兽场,41.890,12.492
狮身人面像,29.975,31.138
巨石阵,51.179,-1.826
泰姬陵,27.175,78.042
崇圣寺三塔,25.708,100.147
