序号,土壤温度,土壤湿度,PH值,空气温度,空气湿度,光照强度,二氧化碳,氮,麟,钾
1,6.7,31.3,6.4,8.4,80.1,387,474,6,36,43
2,8.1,23.0,6.7,7.5,81.0,322,0,7,27,32
3,8.1,23.0,6.6,7.5,82.8,322,469,7,26,31
4,7.9,22.7,6.7,5.8,93.3,193,467,7,26,31
5,7.7,22.8,6.7,3.8,93.6,0,406,7,26,31
6,7.4,22.8,6.7,2.8,95.6,0,406,7,26,30
7,7.2,22.6,6.7,2.5,96.4,0,410,7,25,30
8,6.8,22.6,6.7,1.7,95.5,0,413,8,25,30
9,6.6,23.0,6.8,1.6,96.4,0,414,8,25,30
10,6.4,23.0,6.7,0.8,96.3,0,411,8,25,30
11,6.3,22.5,6.8,0.6,95.2,0,411,8,25,30
12,6.1,22.5,6.8,0.3,95.6,0,418,8,25,29
13,5.9,22.4,6.8,0.0,95.7,0,412,8,25,29
14,5.7,22.6,6.7,-0.4,95.1,0,420,8,24,29
15,5.7,22.4,6.7,-0.1,96.1,0,419,8,24,29
16,5.4,22.4,6.8,-0.1,95.3,0,412,8,24,29
17,5.4,22.6,6.7,-0.1,95.2,0,418,8,24,28
18,5.3,22.4,6.7,-0.5,95.1,0,420,8,24,28
19,5.2,22.3,6.7,-0.8,92.9,0,421,8,24,29
20,5.1,22.2,6.8,-1.3,92.8,0,427,8,24,28
21,4.9,22.2,6.7,-1.1,94.2,0,423,8,24,28
22,4.8,22.4,6.8,-1.3,94.8,0,427,8,24,29
23,4.7,22.2,6.8,-1.4,93.1,0,432,8,24,28
24,4.7,22.3,6.8,-1.7,94.0,0,433,8,24,28
25,4.4,22.1,6.7,-1.9,92.4,0,425,8,24,28
26,4.4,22.4,6.7,-1.8,93.8,0,426,8,24,28
27,4.3,22.4,6.8,-1.9,92.5,0,428,8,24,28
28,4.3,22.3,6.8,-2.1,92.4,0,431,8,24,28
29,4.2,22.4,6.8,-2.1,92.6,0,431,8,24,28
30,4.1,22.2,6.8,-2.4,93.7,0,435,8,24,28
31,4.0,22.1,6.8,-2.3,93.8,0,431,8,24,28
32,4.0,22.2,6.8,-2.4,92.2,0,428,8,23,27
33,3.9,22.0,6.7,-2.3,93.9,0,433,8,23,27
34,3.9,22.2,6.7,-1.5,94.5,193,433,8,23,27
35,3.9,22.2,6.7,-0.3,95.7,322,434,9,23,27
36,3.9,22.4,6.8,1.2,97.3,709,423,8,24,28
37,4.2,22.4,6.8,2.5,92.8,1096,425,8,24,28
38,4.5,22.6,6.7,4.2,88.4,1354,416,8,24,28
39,4.7,22.7,6.7,5.5,82.3,1483,414,8,24,28
40,5.2,22.7,6.7,6.7,76.6,1483,407,8,24,28
41,5.5,22.9,6.6,7.6,74.0,1225,406,8,24,29
42,5.9,23.0,6.7,8.0,74.3,1290,409,8,24,29
43,6.5,22.9,6.7,9.4,70.6,1290,408,8,25,29
44,6.7,22.8,6.6,10.1,65.1,1290,404,8,25,30
45,7.1,23.0,6.7,10.7,66.6,1225,401,8,25,30
46,7.4,23.1,6.7,10.1,59.5,1032,398,7,26,30
47,7.6,23.1,6.7,9.9,78.5,1677,410,8,25,30
48,7.9,23.1,6.7,11.9,67.0,1354,434,7,26,30
49,8.1,23.2,6.7,9.7,76.2,709,428,7,26,31
50,8.2,23.0,6.6,8.4,85.0,516,457,7,26,31
51,8.1,22.9,6.7,6.7,91.1,322,472,7,26,31
52,7.8,22.8,6.7,5.8,93.7,193,460,7,26,31
53,7.6,22.6,6.7,4.4,94.9,0,414,8,25,30
54,7.3,22.7,6.7,3.3,96.4,0,409,8,25,30
55,7.0,22.5,6.7,4.0,96.9,0,421,8,25,30
56,6.9,22.5,6.6,2.7,96.2,0,416,8,25,30
57,6.7,22.4,6.7,2.5,97.1,0,420,8,25,29
58,6.5,22.6,6.7,1.6,97.2,0,423,8,25,29
59,6.4,22.4,6.7,1.5,97.6,0,422,8,25,29
60,6.0,22.6,6.7,1.5,97.8,0,420,8,24,29
61,6.0,22.4,6.7,1.1,97.6,0,423,8,24,29
62,5.8,22.2,6.7,0.6,97.0,0,425,8,24,29
63,5.8,22.1,6.7,0.6,97.7,0,425,8,24,29
64,5.5,22.4,6.7,0.6,97.8,0,434,8,24,29
65,5.4,22.4,6.6,0.0,96.9,0,423,8,24,28
66,5.3,22.1,6.7,0.0,96.6,0,422,8,24,28
67,5.2,22.2,6.6,-0.1,96.2,0,434,8,24,28
68,5.1,22.4,6.7,-0.7,96.4,0,435,8,24,28
69,4.9,22.2,6.7,-0.6,96.8,0,435,8,24,28
70,4.8,22.1,6.7,-0.9,94.3,0,435,8,24,28
71,4.8,22.1,6.7,-1.1,95.9,0,436,8,24,28
72,4.7,22.2,6.7,-1.2,94.8,0,430,8,24,28
73,4.6,22.0,6.7,-1.6,94.9,0,437,8,24,28
74,4.5,22.2,6.7,-1.7,93.9,0,433,8,24,28
75,4.3,22.1,6.7,-1.3,96.4,0,437,8,24,28
76,4.3,22.1,6.7,-1.9,95.8,0,437,8,24,28
77,4.2,22.2,6.7,-2.0,92.6,0,456,8,24,28
78,4.1,22.2,6.7,-1.8,95.5,0,443,8,24,28
79,4.0,22.0,6.7,-2.2,95.2,0,445,8,23,28
80,3.9,22.1,6.7,-2.3,94.2,0,453,8,23,28
81,3.9,22.3,6.7,-2.3,94.9,64,448,8,24,28
82,3.8,22.4,6.7,-1.1,97.3,193,448,8,23,28
83,3.9,22.4,6.7,0.3,97.3,387,447,8,23,28
84,4.0,22.6,6.7,1.2,96.5,0,446,8,24,28
85,4.3,22.4,6.6,2.5,94.1,1161,444,8,24,28
86,4.5,22.4,6.7,4.6,89.3,1419,430,8,24,28
87,4.8,22.5,6.7,5.7,81.8,1483,428,8,24,28
88,5.1,22.6,6.7,7.0,77.1,1419,422,8,24,28
89,5.5,22.7,6.7,8.4,78.2,1161,419,8,24,29
90,6.0,22.8,6.7,9.4,69.9,1225,414,8,25,29
91,6.5,22.9,6.6,10.3,67.6,0,418,8,25,29
92,7.0,22.8,6.7,11.2,76.9,1225,419,8,25,30
