排名,学校名称,英文校名,标签,地区,类型,总分,办学层次,人才培养,办学资源,国际竞争力,学科水平,师资规模与结构,服务社会,科学研究,重大项目与科研成果,高端人才
1,清华大学,Tsinghua University,双一流/985/211,北京,综合,992.6,36.1,324.2,50.0,92.1,76.1,54.2,46.3,104.9,120.4,88.4
2,北京大学,Peking University,双一流/985/211,北京,综合,898.6,34.9,308.3,30.5,71.4,75.3,52.8,21.2,101.8,110.1,92.4
3,浙江大学,Zhejiang University,双一流/985/211,浙江,综合,793.8,34.9,284.7,28.4,53.7,68.5,52.7,29.7,92.6,84.3,64.3
4,上海交通大学,Shanghai Jiao Tong University,双一流/985/211,上海,综合,776.3,35.6,267.2,26.4,39.6,62.3,52.8,32.7,106.5,88.7,64.6
5,复旦大学,Fudan University,双一流/985/211,上海,综合,697.0,36.6,252.6,21.3,44.1,63.0,51.0,26.9,79.3,59.7,62.6
6,南京大学,Nanjing University,双一流/985/211,江苏,综合,656.1,37.1,266.6,9.2,29.2,56.0,50.0,12.8,70.4,66.5,58.3
7,中国科学技术大学,University of Science and Technology of China,双一流/985/211,安徽,理工,578.4,40.0,224.9,13.3,44.2,42.3,50.7,11.2,65.0,35.7,51.0
8,华中科技大学,Huazhong University of Science and Technology,双一流/985/211,湖北,综合,578.0,32.2,241.4,12.1,29.0,43.6,49.7,15.1,68.0,50.1,36.8
9,武汉大学,Wuhan University,双一流/985/211,湖北,综合,577.3,31.7,254.5,12.2,28.6,48.1,50.4,12.4,56.5,44.3,38.6
10,西安交通大学,Xi'an Jiaotong University,双一流/985/211,陕西,综合,566.4,34.6,257.0,11.7,25.8,39.8,50.4,21.9,57.6,38.9,28.7
11,中山大学,Sun Yat-Sen University,双一流/985/211,广东,综合,539.6,32.0,203.0,15.6,30.1,49.7,51.3,9.9,80.5,26.9,40.6
12,北京航空航天大学,Beihang University,双一流/985/211,北京,理工,537.2,33.1,227.5,14.9,20.8,36.1,48.2,14.1,53.5,58.6,30.4
13,东南大学,Southeast University,双一流/985/211,江苏,综合,530.7,34.6,233.3,14.8,20.3,44.5,50.2,15.1,55.6,40.2,22.1
14,北京理工大学,Beijing Institute of Technology,双一流/985/211,北京,理工,530.2,33.6,220.6,14.3,29.2,32.8,48.2,23.6,53.4,47.1,27.5
15,四川大学,Sichuan University,双一流/985/211,四川,综合,527.9,30.0,236.5,9.6,20.2,41.7,49.1,17.7,62.3,32.6,28.3
16,哈尔滨工业大学,Harbin Institute of Technology,双一流/985/211,黑龙江,理工,514.1,32.6,224.0,15.6,20.4,37.9,51.4,18.8,56.4,33.5,23.4
17,同济大学,Tongji University,双一流/985/211,上海,综合,509.6,35.2,221.5,10.4,17.5,39.3,46.5,12.8,57.4,37.2,31.7
18,中国人民大学,Renmin University of China,双一流/985/211,北京,综合,508.3,34.3,234.3,10.8,12.9,48.9,50.2,1.7,39.5,42.7,33.1
19,北京师范大学,Beijing Normal University,双一流/985/211,北京,师范,501.4,32.1,217.9,15.1,30.0,46.4,50.5,3.5,46.1,29.9,29.8
20,天津大学,Tianjin University,双一流/985/211,天津,理工,491.5,33.1,230.2,11.2,25.2,31.9,50.4,16.5,43.5,23.4,26.1
21,南开大学,Nankai University,双一流/985/211,天津,综合,481.8,31.8,229.6,7.9,22.6,33.3,49.1,4.8,44.8,28.6,29.3
22,山东大学,Shandong University,双一流/985/211,山东,综合,476.3,29.7,216.4,11.9,19.2,35.5,51.6,14.1,54.3,21.9,21.7
23,西北工业大学,Northwestern Polytechnical University,双一流/985/211,陕西,理工,459.9,33.4,209.3,12.6,25.9,24.5,50.2,10.8,51.8,25.5,16.0
24,厦门大学,Xiamen University,双一流/985/211,福建,综合,458.2,32.1,196.8,15.7,19.4,35.8,48.3,5.9,53.5,22.7,28.0
25,中南大学,Central South University,双一流/985/211,湖南,综合,456.1,30.6,196.1,10.0,24.2,33.7,46.4,13.6,54.6,27.1,19.9
26,吉林大学,Jilin University,双一流/985/211,吉林,综合,443.7,30.5,209.1,9.2,18.2,38.4,50.7,5.0,44.3,20.7,17.7
27,中国农业大学,China Agricultural University,双一流/985/211,北京,农业,440.6,31.5,185.7,8.7,18.6,36.3,47.4,10.4,41.6,36.2,24.2
28,大连理工大学,Dalian University of Technology,双一流/985/211,辽宁,理工,435.7,31.3,196.6,9.1,16.5,28.1,48.0,12.5,40.2,36.2,17.1
29,华东师范大学,East China Normal University,双一流/985/211,上海,师范,431.2,32.6,200.5,10.6,17.7,30.2,48.0,4.2,40.3,22.6,24.5
30,华南理工大学,South China University of Technology,双一流/985/211,广东,理工,430.6,30.4,195.8,9.8,22.5,29.7,44.5,19.9,42.2,16.6,19.1
31,电子科技大学,University of Electronic Science and Technology of China,双一流/985/211,四川,理工,426.1,30.6,208.0,10.1,22.6,22.0,47.1,10.0,35.1,20.5,20.0
32,湖南大学,Hunan University,双一流/985/211,湖南,综合,422.2,30.8,187.4,8.4,21.8,26.1,45.6,15.1,38.6,27.7,20.7
33,重庆大学,Chongqing University,双一流/985/211,重庆,综合,407.5,30.6,202.2,7.3,17.2,28.4,45.4,12.7,36.4,13.6,13.8
34,南方科技大学,Southern University of Science and Technology,双一流,广东,综合,396.4,32.6,137.9,24.4,24.7,16.0,49.2,4.9,56.6,10.5,39.7
35,北京科技大学,University of Science and Technology Beijing,双一流/211,北京,理工,384.8,33.1,184.7,7.3,13.2,22.9,45.7,8.6,33.3,19.5,16.5
36,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,双一流/211,江苏,理工,380.1,30.2,189.2,8.1,12.3,21.2,44.7,10.0,38.7,14.3,11.4
37,南京理工大学,Nanjing University of Science and Technology,双一流/211,江苏,理工,373.4,31.6,187.6,7.9,12.2,18.2,45.7,9.3,33.7,18.1,9.2
38,兰州大学,Lanzhou University,双一流/985/211,甘肃,综合,367.6,31.8,172.5,9.4,12.3,26.7,44.7,6.1,33.5,18.7,11.9
39,东北大学,Northeastern University,双一流/985/211,辽宁,理工,366.8,32.2,179.7,7.8,10.1,21.1,42.8,12.1,28.9,19.8,12.2
40,西安电子科技大学,Xidian University,双一流/211,陕西,理工,355.4,30.8,177.0,7.1,10.4,18.6,43.1,10.4,27.3,21.2,9.5
41,北京交通大学,Beijing jiaotong University,双一流/211,北京,理工,352.1,31.4,180.0,6.4,9.0,17.7,44.0,11.6,25.4,16.2,10.3
42,上海科技大学,ShanghaiTech University,双一流,上海,综合,348.5,37.4,145.6,21.2,18.6,11.9,49.0,21.1,20.8,4.5,18.4
43,苏州大学,Soochow University (China),双一流/211,江苏,综合,347.0,29.5,148.1,6.8,21.4,23.8,46.8,8.0,31.3,17.1,14.2
44,华东理工大学,East China University of Science and Technology,双一流/211,上海,理工,341.5,30.9,159.1,6.0,11.7,20.6,42.4,13.7,28.4,14.2,14.6
45,哈尔滨工程大学,Harbin Engineering University,双一流/211,黑龙江,理工,340.9,32.4,179.2,5.9,8.1,15.4,41.3,12.6,30.9,8.0,7.1
46,东北师范大学,Northeast Normal University,双一流/211,吉林,师范,340.8,31.6,178.5,5.5,9.3,28.3,45.6,1.6,21.9,10.1,8.5
47,华中农业大学,Huazhong Agricultural University,双一流/211,湖北,农业,338.1,30.3,152.9,6.6,14.9,27.0,43.9,6.7,28.6,14.7,12.5
48,中国石油大学（北京）,China University of Petroleum - Beijing,双一流/211,北京,理工,331.4,32.5,148.8,6.2,9.9,14.6,40.2,14.9,25.9,25.3,13.1
49,南京农业大学,Nanjing Agricultural University,双一流/211,江苏,农业,330.8,29.5,145.6,5.7,13.4,21.0,43.7,7.0,30.8,18.5,15.6
50,郑州大学,Zhengzhou University,双一流/211,河南,综合,326.1,29.1,154.7,5.2,18.1,26.4,41.3,5.3,31.8,5.9,8.3
51,暨南大学,Jinan University,双一流/211,广东,综合,323.4,29.0,140.0,6.4,15.2,21.5,44.4,6.3,31.6,12.5,16.4
52,南京师范大学,Nanjing Normal University,双一流/211,江苏,师范,322.7,30.6,162.7,4.4,12.6,20.6,43.3,2.9,24.5,11.6,9.6
52,武汉理工大学,Wuhan University of Technology,双一流/211,湖北,理工,322.7,29.3,162.9,6.2,16.2,18.7,42.7,9.0,21.4,9.3,6.9
54,中国矿业大学,China University of Mining and Technology - Xuzhou,双一流/211,江苏,理工,321.7,27.6,155.0,5.4,9.6,18.8,42.4,15.0,25.2,14.4,8.4
55,江南大学,Jiangnan University,双一流/211,江苏,综合,321.4,28.7,141.3,5.3,10.1,17.7,42.9,23.7,24.4,18.1,9.1
56,上海大学,Shanghai University,双一流/211,上海,综合,320.6,31.8,140.1,8.5,16.3,20.9,44.9,8.8,24.5,12.7,11.9
57,中国海洋大学,Ocean University of China,双一流/985/211,山东,综合,319.1,31.6,147.5,6.6,12.1,19.5,44.2,2.0,27.1,16.5,12.0
58,华中师范大学,Central China Normal University,双一流/211,湖北,师范,318.5,30.5,153.1,5.8,12.7,24.2,41.9,<1.0,26.9,11.4,12.0
59,西南交通大学,Southwest Jiaotong University,双一流/211,四川,理工,317.0,29.2,156.4,7.7,8.4,17.5,38.4,11.5,27.5,11.1,9.2
60,中国石油大学（华东）,China University of Petroleum (Huadong),双一流/211,山东,理工,313.9,28.4,159.4,6.4,10.8,16.7,40.1,10.0,22.1,13.8,6.2
61,中国地质大学（武汉）,China University of Geosciences (Wuhan),双一流/211,湖北,理工,313.2,30.4,145.4,5.8,16.9,18.7,43.9,6.1,25.8,8.4,11.8
62,陕西师范大学,Shaanxi Normal University,双一流/211,陕西,师范,312.6,29.7,167.3,4.8,10.1,18.2,44.7,<1.0,21.3,6.3,9.9
63,北京邮电大学,Beijing University of Posts and Telecommunications,双一流/211,北京,理工,311.3,27.4,160.2,4.2,9.6,16.8,41.5,5.8,20.5,16.0,9.3
64,浙江工业大学,Zhejiang University of Technology,,浙江,理工,309.7,30.7,168.4,5.0,12.0,13.8,39.5,8.0,19.9,6.1,6.4
65,河海大学,Hohai University,双一流/211,江苏,理工,307.7,31.0,146.2,4.6,11.3,18.4,43.3,6.0,22.9,16.4,7.7
66,北京工业大学,Beijing University of Technology,双一流/211,北京,理工,306.1,31.3,152.7,6.7,9.8,17.7,45.3,5.5,20.8,7.8,8.4
67,西北大学,Northwest University,双一流/211,陕西,综合,305.2,29.3,153.3,3.9,10.1,20.4,44.9,2.4,23.6,8.1,9.1
68,北京化工大学,Beijing University of Chemical Technology,双一流/211,北京,理工,300.9,29.0,140.1,4.9,16.5,13.6,39.4,14.6,23.1,9.6,10.1
69,西南大学,Southwest University,双一流/211,重庆,综合,300.6,27.3,148.9,6.2,9.2,23.8,42.4,4.1,24.8,6.2,7.6
70,云南大学,Yunnan University,双一流/211,云南,综合,297.8,31.9,145.0,6.4,12.2,20.7,39.4,2.6,23.4,8.6,7.7
